,SYMBOL,DELTA,INSTRUMENT,EXPIRY_DT,STRIKE_PR,ENTRYPRICE,SPOTPRICE,EXITPRICE,LOTSIZE,CONTRACTVALUE_FOR_1LOT,20%MARGIN_1LOT,Number_of_Lots,B/S,MARGINAMOUNT,ENTRYVALUE,EXITVALUE,P/L
0,ACC,0.20616311364852907,OPTSTK,26-May-2022,2680.0,7.5,2208.0,0.0,250,1875.0,375.0,1867.0,SHORT,700125.0,3500625.0,0.0,3500625.0
1,ADANIENT,0.38416980040911053,OPTSTK,26-May-2022,2560.0,37.55,2046.4,0.0,500,18775.0,3755.0,186.0,SHORT,698430.0,3492150.0,0.0,3492150.0
2,ADANIPORTS,0.45036395016419867,OPTSTK,26-May-2022,910.0,29.85,701.5,0.0,1250,37312.5,7462.5,94.0,SHORT,701475.0,3507375.0,0.0,3507375.0
3,AMBUJACEM,0.27089417771550467,OPTSTK,26-May-2022,435.0,1.05,365.4,0.0,1800,1890.0,378.0,1852.0,SHORT,700056.0,3500280.0,0.0,3500280.0
4,APOLLOHOSP,0.36521891053839983,OPTSTK,26-May-2022,4900.0,63.3,3662.8,0.0,125,7912.5,1582.5,442.0,SHORT,699465.0,3497325.0,0.0,3497325.0
5,ASHOKLEY,0.3566935947858735,OPTSTK,26-May-2022,140.0,1.7,137.4,0.0,5000,8500.0,1700.0,412.0,SHORT,700400.0,3502000.0,0.0,3502000.0
6,ASIANPAINT,0.20946345255812632,OPTSTK,26-May-2022,3450.0,32.0,2840.15,0.0,200,6400.0,1280.0,547.0,SHORT,700160.0,3500800.0,0.0,3500800.0
7,AUBANK,0.22156521803014606,OPTSTK,26-May-2022,1680.0,1.3,1321.5,0.0,1000,1300.0,260.0,2692.0,SHORT,699920.0,3499600.0,0.0,3499600.0
8,AUROPHARMA,0.3408839318047091,OPTSTK,26-May-2022,690.0,8.3,535.85,0.0,1000,8300.0,1660.0,422.0,SHORT,700520.0,3502600.0,0.0,3502600.0
9,AXISBANK,0.22902588926951734,OPTSTK,26-May-2022,810.0,4.95,683.25,0.0,1200,5940.0,1188.0,589.0,SHORT,699732.0,3498660.0,0.0,3498660.0
